Acquired Date,Revenue
8/16/2008,0
8/16/2008,0
8/16/2008,0
8/16/2008,0
8/16/2008,0
8/16/2008,0
8/16/2008,0
8/16/2008,0
8/16/2008,0
8/16/2008,0
8/16/2008,0
8/16/2008,0
8/16/2008,0
8/16/2008,0
8/16/2008,0
10/1/2006,0
11/13/2004,0
11/13/2004,0
11/13/2004,0
11/13/2004,0
11/13/2004,0
11/13/2004,0
11/13/2004,0
11/13/2004,0
11/13/2004,0
11/13/2004,0
11/13/2004,0
11/13/2004,0
11/13/2004,0
11/13/2004,0
11/13/2004,0
11/13/2004,0
11/13/2004,0
11/13/2004,0
11/13/2004,0
11/13/2004,0
11/13/2004,0
11/13/2004,0
11/13/2004,0
11/13/2004,0
11/13/2004,0
11/13/2004,0
11/13/2004,0
11/13/2004,0
11/13/2004,0
11/13/2004,0
11/13/2004,0
11/13/2004,0
11/13/2004,0
11/13/2004,0
11/13/2004,0
11/13/2004,0
11/13/2004,0
11/13/2004,0
11/13/2004,0
11/13/2004,0
11/13/2004,0
11/13/2004,0
11/13/2004,0
11/13/2004,0
11/13/2004,0
11/13/2004,0
11/13/2004,0
11/13/2004,0
11/13/2004,0
11/13/2004,0
11/13/2004,0
11/13/2004,0
11/13/2004,0
11/13/2004,0
11/13/2004,0
11/13/2004,0
11/13/2004,0
11/13/2004,0
11/13/2004,0
11/13/2004,0
11/13/2004,0
11/13/2004,0
11/13/2004,0
11/13/2004,0
11/13/2004,0
11/13/2004,0
11/13/2004,0
11/13/2004,0
11/13/2004,0
11/13/2004,0
11/13/2004,0
11/13/2004,0
11/10/2001,0
8/1/2000,0
8/1/2000,0
8/1/2000,0
8/1/2000,0
8/1/2000,0
8/1/2000,0
8/1/2000,0
8/1/2000,0
8/1/2000,0
8/1/2000,0
8/1/2000,0
8/1/2000,0
8/1/2000,0
8/1/2000,0
8/1/2000,0
8/1/2000,0
8/1/2000,0
7/14/1996,0
7/14/1996,0
7/14/1996,0
11/13/2004,1
11/13/2004,3
7/14/1996,1032
11/13/2004,4909
11/13/2004,8208
11/13/2004,13015
11/13/2004,20355
11/13/2004,25622
9/25/2008,26901
11/13/2004,31415
9/25/2008,32490
9/25/2008,42004
7/14/1996,43175
11/13/2004,50022
11/13/2004,51872
9/25/2008,52474
11/13/2004,56866
9/25/2008,58869
9/25/2008,60398
9/25/2008,60834
11/13/2004,61637
11/13/2004,64301
9/25/2008,64653
9/25/2008,65247
10/1/2006,66027
11/13/2004,68990
11/13/2004,71976
9/25/2008,72474
11/13/2004,72938
9/25/2008,73846
9/25/2008,74592
11/13/2004,76753
9/25/2008,77148
11/13/2004,77180
11/13/2004,77603
9/25/2008,78958
11/13/2004,81034
11/13/2004,81937
11/13/2004,82620
9/25/2008,82982
11/13/2004,84260
9/25/2008,84266
11/13/2004,84360
10/1/2006,84547
9/25/2008,85763
11/13/2004,86154
9/25/2008,86196
11/13/2004,87193
9/25/2008,87835
11/13/2004,88107
9/25/2008,88162
11/13/2004,89039
9/25/2008,90120
11/13/2004,90368
9/25/2008,90950
11/13/2004,91275
9/25/2008,91375
9/25/2008,91393
11/13/2004,91729
11/13/2004,92862
9/25/2008,92987
11/13/2004,93894
9/25/2008,94434
11/13/2004,94674
11/13/2004,95283
9/25/2008,95390
9/25/2008,95716
11/13/2004,95851
9/25/2008,96633
11/13/2004,96708
9/25/2008,97183
9/25/2008,97566
11/13/2004,98006
9/25/2008,98052
11/13/2004,98729
11/13/2004,98908
11/13/2004,99678
9/25/2008,100378
11/13/2004,100646
11/13/2004,100756
9/25/2008,100805
9/25/2008,100856
11/13/2004,101142
11/13/2004,102173
9/25/2008,102579
9/25/2008,102617
9/25/2008,104645
9/25/2008,105321
11/13/2004,105817
9/25/2008,105824
9/25/2008,106338
9/25/2008,107680
11/13/2004,108325
9/25/2008,108396
9/25/2008,108693
9/25/2008,109004
9/25/2008,109039
9/25/2008,109074
9/25/2008,109424
11/13/2004,109792
11/13/2004,109916
11/13/2004,110116
11/13/2004,110746
9/25/2008,110892
9/25/2008,110905
11/13/2004,111064
11/13/2004,111532
11/13/2004,111898
11/13/2004,112766
9/25/2008,113613
11/13/2004,113635
11/13/2004,113871
9/25/2008,114229
9/25/2008,114782
8/1/2000,114824
11/13/2004,114944
11/13/2004,115136
9/25/2008,115495
11/13/2004,115579
9/25/2008,115853
11/13/2004,115945
8/1/2000,119461
11/13/2004,119694
9/25/2008,119964
9/25/2008,120100
9/25/2008,120107
11/13/2004,120576
9/25/2008,120631
11/13/2004,121367
7/14/1996,121999
9/25/2008,122455
11/13/2004,123022
9/25/2008,123561
9/25/2008,123580
9/25/2008,123931
11/13/2004,124196
9/25/2008,124306
11/13/2004,124990
11/13/2004,125011
9/25/2008,125220
9/25/2008,125311
9/25/2008,125554
11/13/2004,125835
11/13/2004,126114
10/1/2006,126349
9/25/2008,126645
9/25/2008,126752
9/25/2008,127183
11/13/2004,127378
9/25/2008,127609
11/13/2004,127901
11/13/2004,128022
11/13/2004,128470
9/25/2008,129082
11/13/2004,129099
11/13/2004,130307
11/13/2004,130360
9/25/2008,131256
11/13/2004,131364
9/25/2008,132261
11/13/2004,132323
9/25/2008,132729
11/13/2004,132784
9/25/2008,132826
9/25/2008,132955
11/13/2004,133335
9/25/2008,133790
11/13/2004,133915
9/25/2008,134194
9/25/2008,135154
9/25/2008,135230
9/25/2008,135538
11/13/2004,135652
9/25/2008,135800
11/13/2004,135907
11/13/2004,136870
9/25/2008,136930
9/25/2008,137356
9/25/2008,137584
9/25/2008,137975
9/25/2008,138449
9/25/2008,138707
11/13/2004,138790
9/25/2008,138792
11/13/2004,138835
11/13/2004,138857
9/25/2008,138934
11/13/2004,139290
11/13/2004,139704
9/25/2008,139709
9/25/2008,140098
11/13/2004,140415
9/25/2008,140874
9/25/2008,140879
11/13/2004,141115
9/25/2008,141665
10/1/2006,142008
9/25/2008,142074
9/25/2008,143183
11/13/2004,143194
10/1/2006,143365
9/25/2008,143605
9/25/2008,143617
11/13/2004,143650
9/25/2008,143828
9/25/2008,144012
11/13/2004,144212
11/13/2004,144416
11/13/2004,144493
11/13/2004,144696
9/25/2008,144825
9/25/2008,145072
11/13/2004,145607
9/25/2008,145768
9/25/2008,146205
11/13/2004,146723
9/25/2008,146922
1/18/1975,147224
9/25/2008,147273
11/13/2004,147375
11/13/2004,147444
9/25/2008,147605
11/13/2004,147613
11/13/2004,147811
9/25/2008,148015
11/13/2004,148076
9/25/2008,148237
9/25/2008,148429
11/13/2004,148657
11/13/2004,148723
9/25/2008,148911
9/25/2008,149676
11/13/2004,149841
9/25/2008,150350
9/25/2008,150705
11/13/2004,150739
9/25/2008,150781
9/25/2008,150853
11/13/2004,151160
11/13/2004,151895
9/25/2008,151955
9/25/2008,151974
9/25/2008,152515
11/13/2004,152586
11/13/2004,152806
9/25/2008,152831
11/13/2004,153038
9/25/2008,153529
9/25/2008,154079
9/25/2008,154183
10/1/2006,154884
9/25/2008,155408
9/25/2008,155490
11/13/2004,155665
11/13/2004,155765
11/13/2004,156108
9/25/2008,156116
11/13/2004,156198
11/13/2004,156330
9/25/2008,157508
11/13/2004,157543
11/13/2004,157551
9/25/2008,157629
11/13/2004,157827
9/25/2008,157989
9/25/2008,158367
11/13/2004,158388
11/13/2004,158460
11/13/2004,158734
9/25/2008,158774
11/13/2004,158997
11/13/2004,159138
11/13/2004,159394
11/13/2004,159629
11/13/2004,159752
9/25/2008,159821
9/25/2008,159969
9/25/2008,160108
11/13/2004,160265
9/25/2008,161016
11/13/2004,161140
11/13/2004,161322
11/13/2004,161991
9/25/2008,162033
9/25/2008,162144
10/1/2006,162542
11/13/2004,162569
10/1/2006,162697
9/25/2008,163447
9/25/2008,163729
11/13/2004,163962
9/25/2008,164084
9/25/2008,164193
11/13/2004,164419
11/13/2004,164473
9/25/2008,164717
11/13/2004,164976
11/13/2004,165060
9/25/2008,165254
11/13/2004,165495
9/25/2008,165930
9/25/2008,165974
9/25/2008,166413
11/13/2004,166518
9/25/2008,166534
9/25/2008,166674
9/25/2008,167348
11/13/2004,167891
11/13/2004,168637
9/25/2008,169120
9/25/2008,169225
11/13/2004,169234
8/1/2000,169310
9/25/2008,169481
9/25/2008,169550
11/13/2004,169749
11/13/2004,170152
9/25/2008,170184
9/25/2008,170421
11/13/2004,170466
9/25/2008,170554
11/13/2004,170631
9/25/2008,170810
9/25/2008,171188
9/25/2008,171498
7/14/1996,171632
9/25/2008,171724
9/25/2008,171904
11/13/2004,171906
11/13/2004,172250
9/25/2008,172696
11/13/2004,173116
11/13/2004,173314
9/25/2008,173959
9/25/2008,173973
9/25/2008,174227
9/25/2008,174597
9/25/2008,174674
9/25/2008,174795
9/25/2008,175110
9/25/2008,176159
9/25/2008,176736
11/13/2004,177031
9/25/2008,177048
11/13/2004,177310
11/13/2004,177326
11/13/2004,177512
11/13/2004,177651
9/25/2008,177836
11/13/2004,178019
11/13/2004,178147
9/25/2008,178521
7/14/1996,178631
11/13/2004,178663
11/13/2004,178759
11/13/2004,178864
9/25/2008,179277
9/25/2008,179348
11/13/2004,179432
11/13/2004,179642
9/25/2008,179701
11/13/2004,179744
7/14/1996,180021
11/13/2004,180276
11/13/2004,180437
10/1/2006,180529
11/13/2004,180535
11/13/2004,180600
9/25/2008,181195
9/25/2008,181223
9/25/2008,182032
9/25/2008,182058
11/13/2004,182656
9/25/2008,182684
10/1/2006,182764
9/25/2008,182876
11/13/2004,182908
9/25/2008,182974
11/13/2004,183149
11/13/2004,183192
11/13/2004,183482
9/25/2008,183620
9/25/2008,183662
8/1/2000,183899
9/25/2008,183955
11/13/2004,184184
11/13/2004,184724
9/25/2008,184727
9/25/2008,185053
9/25/2008,185161
9/25/2008,185179
9/25/2008,185315
9/25/2008,185615
9/25/2008,185878
9/25/2008,185891
11/13/2004,186301
9/25/2008,186368
11/13/2004,186429
11/13/2004,186942
11/13/2004,186957
9/25/2008,186962
11/13/2004,186969
9/25/2008,187033
11/13/2004,187811
9/25/2008,187916
11/13/2004,188218
11/13/2004,188220
10/1/2006,188977
11/13/2004,189177
9/25/2008,189212
11/13/2004,189288
11/13/2004,189442
9/25/2008,189664
9/25/2008,190476
9/25/2008,190510
11/13/2004,191186
11/13/2004,192089
9/25/2008,192181
9/25/2008,192321
11/13/2004,193083
11/13/2004,193197
11/13/2004,193304
9/25/2008,193565
11/13/2004,193789
9/25/2008,193881
11/13/2004,193920
9/25/2008,194845
11/13/2004,194965
11/13/2004,194967
9/25/2008,195303
9/25/2008,195328
7/14/1996,195352
11/13/2004,195613
11/13/2004,195618
11/13/2004,195817
9/25/2008,195988
11/13/2004,196025
11/13/2004,196112
9/25/2008,196230
9/25/2008,196400
10/1/2006,196529
11/13/2004,197309
10/1/2006,197413
10/1/2006,197478
